S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1273,2016-05-29,132,37726.00,34229203.00,919.00,895.00,915.00
1274,2016-05-26,140,66457.00,59770223.00,910.00,880.00,901.00
1275,2016-05-25,200,58282.00,52513655.00,915.00,880.00,900.00
1276,2016-05-24,181,67226.00,61122986.00,925.00,904.00,914.00
1277,2016-05-23,105,26762.00,24085478.00,904.00,886.00,900.00
1278,2016-05-22,123,29932.00,27064933.00,910.00,900.00,903.00
1279,2016-05-19,130,30280.00,27635073.00,920.00,907.00,907.00
1280,2016-05-18,160,47282.00,42824929.00,910.00,900.00,907.00
1281,2016-05-17,186,43727.00,39345222.00,906.00,889.00,905.00
1282,2016-05-16,126,38420.00,33895741.00,890.00,876.00,888.00
1283,2016-05-15,95,35530.00,31214305.00,882.00,872.00,879.00
1284,2016-05-12,44,7665.00,6717810.00,882.00,870.00,870.00
1285,2016-05-11,84,17532.00,15376850.00,886.00,870.00,873.00
1286,2016-05-10,119,27435.00,24354819.00,893.00,882.00,885.00
1287,2016-05-09,125,26576.00,23624294.00,894.00,885.00,888.00
1288,2016-05-08,113,29342.00,25867159.00,885.00,875.00,885.00
1289,2016-05-05,102,23434.00,20380318.00,872.00,860.00,870.00
1290,2016-05-04,125,26948.00,23441166.00,875.00,860.00,873.00
1291,2016-05-03,87,20967.00,18191839.00,877.00,860.00,871.00
1292,2016-05-02,77,15941.00,13913794.00,883.00,866.00,872.00
1293,2016-04-28,110,22919.00,20121389.00,886.00,870.00,870.00
1294,2016-04-27,82,18193.00,15928362.00,880.00,867.00,871.00
1295,2016-04-26,114,37901.00,33577067.00,890.00,880.00,880.00
1296,2016-04-25,120,35200.00,31293506.00,894.00,886.00,890.00
1297,2016-04-24,201,42086.00,37457488.00,899.00,885.00,890.00
1298,2016-04-21,105,22220.00,19405266.00,888.00,860.00,872.00
1299,2016-04-20,165,42727.00,37355542.00,884.00,865.00,880.00
1300,2016-04-19,156,41723.00,35473691.00,860.00,842.00,852.00
1301,2016-04-18,136,56424.00,47186681.00,850.00,825.00,848.00
1302,2016-04-17,96,34030.00,27923623.00,825.00,818.00,824.00
1303,2016-04-14,72,24823.00,20138599.00,815.00,809.00,813.00
1304,2016-04-12,71,14811.00,11924785.00,810.00,800.00,806.00
1305,2016-04-11,61,13121.00,10518372.00,805.00,800.00,800.00
1306,2016-04-10,88,19721.00,15809895.00,804.00,800.00,802.00
1307,2016-04-06,59,15728.00,12607239.00,806.00,796.00,801.00
1308,2016-04-05,113,25912.00,20803916.00,812.00,796.00,803.00
1309,2016-04-04,64,14476.00,11528178.00,800.00,786.00,797.00
1310,2016-04-03,86,18626.00,14723063.00,800.00,780.00,795.00
1311,2016-03-31,113,39992.00,31939230.00,808.00,790.00,795.00
1312,2016-03-30,89,19383.00,15578279.00,810.00,799.00,806.00
1313,2016-03-29,141,39031.00,31442919.00,811.00,800.00,804.00
1314,2016-03-28,163,48482.00,39333678.00,825.00,800.00,811.00
1315,2016-03-27,202,60290.00,48644744.00,820.00,797.00,818.00
1316,2016-03-24,99,32700.00,25667966.00,796.00,766.00,788.00
1317,2016-03-23,128,38784.00,30227954.00,785.00,771.00,780.00
1318,2016-03-21,94,65417.00,50644112.00,788.00,770.00,780.00
1319,2016-03-20,100,31821.00,24587117.00,783.00,765.00,776.00
1320,2016-03-17,43,10918.00,8389903.00,772.00,761.00,768.00
1321,2016-03-16,28,5611.00,4309758.00,770.00,765.00,768.00
1322,2016-03-15,28,8150.00,6237950.00,769.00,764.00,768.00
1323,2016-03-14,38,9015.00,6919546.00,780.00,760.00,769.00
1324,2016-03-13,42,12266.00,9465810.00,779.00,765.00,766.00
1325,2016-03-10,74,24233.00,18708592.00,785.00,760.00,771.00
1326,2016-03-06,86,22775.00,17613775.00,785.00,750.00,774.00
1327,2016-03-03,69,29747.00,22454992.00,760.00,750.00,760.00
1328,2016-03-02,60,23350.00,17423983.00,750.00,740.00,748.00
1329,2016-03-01,52,12183.00,9054050.00,745.00,740.00,744.00
1330,2016-02-29,48,12198.00,9011140.00,741.00,730.00,741.00
1331,2016-02-28,69,22032.00,16305692.00,742.00,738.00,740.00
1332,2016-02-25,60,18031.00,13324172.00,745.00,730.00,740.00
1333,2016-02-24,42,17060.00,12593527.00,745.00,735.00,738.00
1334,2016-02-23,65,20032.00,14790412.00,746.00,734.00,737.00
1335,2016-02-22,101,58413.00,42991200.00,745.00,730.00,735.00
1336,2016-02-21,109,79272.00,58070150.00,742.00,730.00,730.00
1337,2016-02-18,57,14359.00,10476566.00,735.00,724.00,729.00
1338,2016-02-17,36,10878.00,7919199.00,732.00,725.00,732.00
1339,2016-02-16,35,7227.00,5233771.00,726.00,720.00,724.00
1340,2016-02-15,53,11582.00,8356959.00,734.00,718.00,725.00
1341,2016-02-14,56,23504.00,17161042.00,735.00,728.00,728.00
1342,2016-02-11,52,11090.00,8147238.00,740.00,728.00,728.00
1343,2016-02-08,121,35118.00,25738785.00,745.00,729.00,735.00
1344,2016-02-07,96,27076.00,20134222.00,769.00,736.00,738.00
1345,2016-02-04,80,20943.00,15475782.00,741.00,735.00,740.00
1346,2016-02-03,66,20176.00,14902340.00,740.00,735.00,735.00
1347,2016-02-02,100,27887.00,20666631.00,746.00,738.00,739.00
1348,2016-02-01,126,56014.00,40722073.00,735.00,720.00,732.00
1349,2016-01-31,82,20809.00,14976039.00,728.00,715.00,720.00
1350,2016-01-28,99,32311.00,23350690.00,730.00,720.00,720.00
1351,2016-01-27,133,37093.00,26867408.00,727.00,722.00,724.00
1352,2016-01-26,131,39454.00,28606326.00,738.00,723.00,725.00
1353,2016-01-25,119,37112.00,26887345.00,739.00,718.00,725.00
1354,2016-01-24,105,43866.00,31067160.00,714.00,701.00,714.00
1355,2016-01-21,178,77547.00,54258368.00,705.00,696.00,700.00
1356,2016-01-20,121,60328.00,42159461.00,702.00,695.00,699.00
1357,2016-01-19,82,36058.00,24987572.00,700.00,680.00,699.00
1358,2016-01-18,166,79927.00,55823520.00,704.00,691.00,699.00
1359,2016-01-17,91,37272.00,25727560.00,700.00,683.00,690.00
1360,2016-01-14,126,50464.00,33982654.00,679.00,670.00,670.00
1361,2016-01-13,118,35771.00,23998220.00,675.00,670.00,673.00
1362,2016-01-12,211,57948.00,38846468.00,680.00,668.00,670.00
1363,2016-01-11,36,12945.00,8625476.00,670.00,663.00,665.00
1364,2016-01-10,51,17500.00,11628499.00,668.00,654.00,665.00
1365,2016-01-07,65,19154.00,12760992.00,670.00,664.00,665.00
1366,2016-01-06,52,11907.00,7844916.00,664.00,650.00,662.00
1367,2016-01-05,40,12308.00,8061360.00,664.00,650.00,650.00
1368,2016-01-04,33,11727.00,7700213.00,660.00,653.00,653.00
1369,2016-01-03,33,6519.00,4291572.00,662.00,655.00,661.00
1370,2015-12-31,43,14249.00,9400648.00,678.00,650.00,659.00
1371,2015-12-29,20,6715.00,4360891.00,651.00,645.00,650.00
