S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
271,2020-11-18,29,2592.00,586520.00,235.00,223.00,225.00
272,2020-11-12,68,11342.00,2690595.00,249.00,226.00,235.00
273,2020-11-11,242,40898.00,10190831.00,266.00,227.00,238.00
274,2020-11-10,28,2115.00,506490.00,242.00,220.00,242.00
275,2020-11-09,67,9725.00,2102170.00,220.00,206.00,220.00
276,2020-11-08,9,770.00,152740.00,200.00,193.00,200.00
277,2020-11-05,1,10.00,2000.00,200.00,200.00,200.00
278,2020-11-04,4,40.00,7810.00,197.00,194.00,197.00
279,2020-11-03,8,465.00,90825.00,197.00,195.00,197.00
280,2020-11-02,23,4600.00,913490.00,200.00,196.00,198.00
281,2020-11-01,9,290.00,57460.00,200.00,197.00,200.00
282,2020-10-29,3,80.00,15830.00,200.00,197.00,200.00
283,2020-10-28,10,1640.00,323040.00,202.00,195.00,198.00
284,2020-10-22,11,1200.00,235850.00,198.00,195.00,195.00
285,2020-10-21,11,2520.00,503300.00,201.00,199.00,199.00
286,2020-10-20,26,2950.00,591860.00,209.00,195.00,203.00
287,2020-10-19,25,3214.00,634610.00,200.00,194.00,198.00
288,2020-10-18,12,1670.00,322080.00,197.00,189.00,197.00
289,2020-10-15,7,570.00,114410.00,206.00,198.00,198.00
290,2020-10-14,19,2651.00,534220.00,206.00,200.00,202.00
291,2020-10-13,39,9038.00,1883485.00,217.00,202.00,202.00
292,2020-10-12,59,7838.00,1598023.00,218.00,190.00,210.00
293,2020-10-11,42,6285.00,1234535.00,204.00,195.00,200.00
294,2020-10-08,53,6074.00,1289778.00,216.00,208.00,208.00
295,2020-10-07,56,11471.00,2384441.00,219.00,197.00,213.00
296,2020-10-06,46,6472.00,1273731.00,205.00,190.00,203.00
297,2020-10-05,138,22141.00,4595315.00,221.00,196.00,198.00
298,2020-10-04,70,8760.00,1759410.00,201.00,186.00,201.00
299,2020-10-01,48,6510.00,1171590.00,183.00,167.00,183.00
300,2020-09-30,23,12600.00,2084020.00,168.00,165.00,167.00
301,2020-09-29,51,12837.00,2101271.00,166.00,161.00,162.00
302,2020-09-28,58,13922.00,2277170.00,166.00,161.00,162.00
303,2020-09-27,62,13305.00,2089925.00,160.00,150.00,158.00
304,2020-09-24,47,5615.00,834355.00,152.00,141.00,152.00
305,2020-09-23,23,2777.00,395209.00,144.00,139.00,143.00
306,2020-09-22,39,14267.00,2010818.00,143.00,139.00,140.00
307,2020-09-21,30,3700.00,529140.00,145.00,141.00,141.00
308,2020-09-20,44,12675.00,1885585.00,157.00,145.00,145.00
309,2020-09-17,25,4385.00,597107.00,144.00,133.00,143.00
310,2020-09-16,23,3202.00,419742.00,133.00,129.00,131.00
311,2020-09-15,3,310.00,40700.00,132.00,130.00,130.00
312,2020-09-14,22,5834.00,750044.00,132.00,126.00,132.00
313,2020-09-13,25,2745.00,355505.00,134.00,126.00,128.00
314,2020-09-10,6,1090.00,142480.00,132.00,129.00,129.00
315,2020-09-09,19,1590.00,201550.00,133.00,123.00,132.00
316,2020-09-08,13,1350.00,166014.00,125.00,121.00,125.00
317,2020-09-07,3,100.00,12260.00,123.00,122.00,122.00
318,2020-09-06,13,788.00,96321.00,126.00,120.00,123.00
319,2020-09-03,10,1047.00,129078.00,124.00,122.00,122.00
320,2020-09-02,12,2130.00,260240.00,123.00,121.00,122.00
321,2020-08-31,16,1060.00,128810.00,122.00,121.00,121.00
322,2020-08-30,3,530.00,65420.00,125.00,123.00,123.00
323,2020-08-27,9,699.00,85008.00,123.00,121.00,122.00
324,2020-08-26,7,1125.00,139965.00,125.00,121.00,121.00
325,2020-08-25,13,2047.00,255001.00,126.00,122.00,123.00
326,2020-08-24,27,5659.00,681654.00,126.00,118.00,124.00
327,2020-08-23,25,2767.00,327572.00,120.00,115.00,116.00
328,2020-08-20,7,2210.00,255760.00,116.00,114.00,116.00
329,2020-08-19,3,490.00,55960.00,116.00,114.00,114.00
330,2020-08-18,3,159.00,18205.00,115.00,114.00,115.00
331,2020-08-17,10,1422.00,163088.00,116.00,114.00,114.00
332,2020-08-16,13,2110.00,241820.00,115.00,112.00,114.00
333,2020-08-13,15,1076.00,125481.00,117.00,114.00,114.00
334,2020-08-12,2,220.00,25260.00,115.00,114.00,114.00
335,2020-08-11,7,1350.00,156900.00,118.00,114.00,115.00
336,2020-08-10,10,989.00,114564.00,117.00,114.00,115.00
337,2020-08-09,4,170.00,19810.00,119.00,115.00,115.00
338,2020-08-06,4,107.00,12325.00,117.00,115.00,117.00
339,2020-08-05,7,489.00,55137.00,115.00,111.00,113.00
340,2020-08-03,2,50.00,5590.00,113.00,111.00,113.00
341,2020-08-02,12,1137.00,131751.00,119.00,113.00,113.00
342,2020-07-30,5,105.00,12140.00,117.00,114.00,117.00
343,2020-07-29,1,13.00,1482.00,114.00,114.00,114.00
344,2020-07-28,27,3588.00,399859.00,116.00,110.00,116.00
345,2020-07-27,56,12632.00,1455336.00,124.00,114.00,116.00
346,2020-07-26,1,60.00,7560.00,126.00,126.00,126.00
347,2020-07-22,5,110.00,14080.00,128.00,128.00,128.00
348,2020-07-21,2,100.00,13000.00,130.00,130.00,130.00
349,2020-07-20,4,310.00,40720.00,132.00,130.00,130.00
350,2020-07-16,3,160.00,19700.00,124.00,122.00,124.00
351,2020-07-13,2,200.00,24800.00,124.00,124.00,124.00
352,2020-07-12,1,10.00,1260.00,126.00,126.00,126.00
353,2020-07-09,7,600.00,74800.00,128.00,122.00,128.00
354,2020-07-08,3,180.00,22000.00,124.00,120.00,124.00
355,2020-07-07,4,495.00,58410.00,118.00,118.00,118.00
356,2020-07-05,2,210.00,24380.00,118.00,116.00,116.00
357,2020-07-02,1,10.00,1160.00,116.00,116.00,116.00
358,2020-05-12,1,270.00,30780.00,114.00,114.00,114.00
359,2020-03-18,2,880.00,102135.00,117.00,116.00,116.00
360,2020-03-17,4,240.00,28650.00,120.00,118.00,119.00
361,2020-03-16,3,119.00,14211.00,120.00,119.00,120.00
362,2020-03-15,16,5246.00,657092.00,127.00,120.00,120.00
363,2020-03-12,4,410.00,52610.00,131.00,128.00,128.00
364,2020-03-11,6,800.00,100420.00,129.00,125.00,129.00
365,2020-03-10,1,100.00,12700.00,127.00,127.00,127.00
366,2020-03-05,8,5210.00,676700.00,131.00,128.00,129.00
367,2020-03-04,17,4001.00,519409.00,132.00,126.00,126.00
368,2020-03-03,11,2375.00,315808.00,136.00,132.00,133.00
369,2020-03-02,6,777.00,104628.00,135.00,134.00,134.00
370,2020-03-01,5,385.00,52975.00,139.00,137.00,137.00
371,2020-02-27,10,806.00,110804.00,141.00,137.00,137.00
372,2020-02-26,10,1400.00,195770.00,141.00,137.00,139.00
373,2020-02-25,7,1316.00,178860.00,137.00,135.00,137.00
374,2020-02-24,13,1926.00,260010.00,137.00,133.00,137.00
375,2020-02-23,15,3441.00,454865.00,134.00,132.00,134.00
376,2020-02-20,6,2040.00,267260.00,133.00,131.00,131.00
377,2020-02-19,4,220.00,28500.00,130.00,129.00,129.00
378,2020-02-18,6,2000.00,260400.00,131.00,130.00,130.00
379,2020-02-17,9,3050.00,408040.00,136.00,132.00,132.00
380,2020-02-16,2,270.00,35370.00,131.00,131.00,131.00
381,2020-02-13,13,2610.00,348640.00,136.00,132.00,133.00
382,2020-02-12,11,1530.00,202120.00,138.00,130.00,138.00
383,2020-02-11,12,2671.00,348940.00,132.00,130.00,130.00
384,2020-02-10,1,10.00,1280.00,128.00,128.00,128.00
385,2020-02-09,16,4269.00,556399.00,132.00,128.00,128.00
386,2020-02-06,7,800.00,102850.00,132.00,127.00,127.00
387,2020-02-05,7,750.00,96660.00,130.00,128.00,130.00
388,2020-02-04,18,1391.00,186116.00,138.00,130.00,130.00
389,2020-02-03,8,1539.00,207116.00,138.00,134.00,134.00
390,2020-02-02,16,660.00,83860.00,136.00,126.00,136.00
391,2020-01-29,2,90.00,11310.00,127.00,125.00,127.00
392,2020-01-28,6,563.00,71801.00,128.00,127.00,127.00
393,2020-01-27,4,260.00,32700.00,128.00,124.00,128.00
394,2020-01-26,4,1160.00,146360.00,128.00,126.00,126.00
395,2020-01-23,16,4020.00,521690.00,131.00,128.00,130.00
396,2020-01-22,16,3840.00,512470.00,135.00,131.00,131.00
397,2020-01-21,7,1910.00,258870.00,137.00,135.00,136.00
398,2020-01-20,24,8830.00,1208710.00,145.00,135.00,136.00
