S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
105,2021-07-19,145,13084.00,3820782.60,300.00,288.50,290.00
106,2021-07-18,227,19530.00,5757536.00,305.00,290.00,293.00
107,2021-07-15,242,28303.00,8204545.00,298.00,277.00,289.00
108,2021-07-14,126,9025.00,2508350.00,283.00,272.00,279.00
109,2021-07-13,88,5890.00,1625905.00,280.00,268.00,275.00
110,2021-07-12,148,14791.00,4087898.00,288.00,267.00,274.00
111,2021-07-11,218,12370.00,3412167.00,283.00,262.00,283.00
112,2021-07-08,126,7743.00,1976501.00,265.00,245.00,261.00
113,2021-07-07,100,6855.00,1754327.00,271.00,254.00,255.00
114,2021-07-06,106,5924.00,1536356.00,266.00,254.00,259.00
115,2021-07-05,90,4294.00,1125166.00,266.00,260.00,261.00
116,2021-07-04,118,5994.00,1612317.00,275.00,260.00,265.00
117,2021-07-01,153,7161.00,1977646.00,289.00,269.00,271.00
118,2021-06-30,181,13431.00,3495814.00,283.00,254.00,269.00
119,2021-06-29,130,11676.00,3200878.00,282.00,266.00,270.00
120,2021-06-28,155,12432.00,3486926.00,290.00,276.00,279.00
121,2021-06-27,172,14963.00,4297581.00,292.00,280.00,285.00
122,2021-06-24,228,22854.00,6664587.00,302.00,281.00,291.00
123,2021-06-23,487,40904.00,12262947.00,308.00,290.00,296.00
124,2021-06-22,297,27770.00,7729032.00,284.00,259.00,284.00
125,2021-06-21,361,21518.00,5771407.00,280.00,259.00,259.00
126,2021-06-20,384,31542.00,9181968.00,305.00,279.00,280.00
127,2021-06-17,575,33434.00,9531663.00,315.00,264.00,298.00
128,2021-06-16,713,65569.00,19643396.00,310.00,293.00,293.00
129,2021-06-15,635,56335.00,18754612.00,349.00,314.00,325.00
130,2021-06-14,951,93202.00,30296149.00,343.00,300.00,335.00
131,2021-06-13,1157,117085.00,35483098.00,312.00,281.00,312.00
132,2021-06-10,584,74711.00,20459316.00,285.00,261.00,284.00
133,2021-06-09,369,33740.00,9040804.00,287.00,255.00,268.00
134,2021-06-08,537,48622.00,13342912.00,279.00,262.00,274.00
135,2021-06-07,504,38768.00,9842204.00,260.00,233.00,260.00
136,2021-06-06,527,51222.00,12247237.00,250.00,235.00,241.00
137,2021-06-03,470,38232.00,9916781.00,270.00,248.00,255.00
138,2021-06-02,585,47970.00,12210060.00,275.00,247.00,264.00
139,2021-06-01,425,41633.00,10721346.00,275.00,247.00,256.00
140,2021-05-31,793,83037.00,22978907.00,295.00,260.00,267.00
141,2021-05-30,456,56638.00,16232718.00,287.00,261.00,287.00
142,2021-05-27,573,71557.00,18366388.00,261.00,238.00,261.00
143,2021-05-25,395,47029.00,10730922.00,240.00,220.00,238.00
144,2021-05-24,296,26875.00,6016354.00,231.00,219.00,220.00
145,2021-05-23,439,44088.00,9687263.00,228.00,211.00,225.00
146,2021-05-20,353,34855.00,7584709.00,225.00,212.00,218.00
147,2021-05-19,708,77918.00,18192519.00,249.00,211.00,225.00
148,2021-05-18,357,38021.00,8522637.00,227.00,206.00,227.00
149,2021-05-17,472,65183.00,13089073.00,207.00,191.00,207.00
150,2021-05-16,494,73046.00,14425701.00,215.00,192.00,197.00
151,2021-05-13,687,106163.00,21408880.00,205.00,182.00,205.00
152,2021-05-12,510,91805.00,16741772.00,187.00,170.00,187.00
153,2021-05-11,197,24195.00,4143042.00,176.00,164.00,170.00
154,2021-05-10,174,18823.00,3155579.00,172.00,163.00,167.00
155,2021-05-09,228,22660.00,3829462.00,179.00,164.00,166.00
156,2021-05-06,424,48554.00,8545097.00,182.00,166.00,172.00
